Comment,Designator,Footprint,LCSC Part #
Yellow,D1,C0805,C2296
1k,R1 R4,R0805,C17513
1uF,C2 C4,C0805,C28323
4.7uF,C1 C3,C0805,C1779
0.1uF,C5,C0402K,C1525
5.1K,R2,R0603,C23186
5.1k,R7 R8,R0402,C25905
10k,R3 R5,R0805,C17414
300,R6,R0805,C17617
AMS1117,REG,SOT223,C6186
DISPLAY-OLED-128X32LARGEPAD,OLED,DISPLAY-OLED-128X32LARGE,C2718488
ESP01ESP01LARGE,ESP,ESP01LARGE,C2935984
FOD814,OK1,DIL4-SMD,C479718
MMBT2222A,T1,SOT23-BEC,C8512
SN74LVC2G14,U1,SOT95P280X145-6N,C12401
TS-1088-AR02016,RESET S1,SW_TS-1088-AR02016,C720477
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948
